DOI,Title,Authors,Abstract,Venue (Year),Article URL,PDF URL
10.1016/j.jasrep.2017.06.037,A 200-year archaeozoological record of Pacific cod (Gadus macrocephalus) life history as revealed through ion microprobe oxygen isotope ratios in otoliths,"Thomas Helser, Craig Kastelle, Aron Crowell, Takayuki Ushikubo, Ian J. Orland, Reinhard Kozdon, John W. Valley","We measured δ 18 O values in modern and archaeological Pacific cod (Gadus macrocephalus) otoliths recovered from Aialik Bay on the Pacific coast of the Kenai Peninsula, Alaska, using a high precision ion microprobe. Values ...",Journal of Archaeological Science: Reports (2018),https://www.mendeley.com/catalogue/api/pdf/bfeb699c-ee15-3567-a2e6-bf844dffb4c5/?doi=10.1016%2Fj.jasrep.2017.06.037,https://www.mendeley.com/catalogue/200year-archaeozoological-record-pacific-cod-gadus-macrocephalus-life-history-revealed-through-ion-m
10.1016/j.dendro.2019.04.002,"A 2917-year tree-ring-based reconstruction of precipitation for the Buerhanbuda Mts., Southeastern Qaidam Basin, China","Hongli Wang, Xuemei Shao, Mingqi Li","In this study, we developed the tree-ring width chronology for the period of 1404 BCE to 2015 CE using Qilian juniper (Sabina przewalskii Kom.) trees collected from the Buerhanbuda Mts. in the southeastern Qaidam ...",Dendrochronologia (2019),https://www.mendeley.com/catalogue/api/pdf/3f56f80d-97c3-3a84-8881-26fb65315448/?doi=10.1016%2Fj.dendro.2019.04.002,https://www.mendeley.com/catalogue/2917year-treeringbased-reconstruction-precipitation-buerhanbuda-mts-southeastern-qaidam-basin-china
10.1016/j.quascirev.2019.03.023,"A 40,000-year record of aridity and dust activity at Lop Nur, Tarim Basin, northwestern China","Jian Liu, Rujian Wang, Yue Zhao, Yi Yang","The Taklamakan Desert is a major dust source area for northwestern China. The history of aridification and sandstorm activity of the desert is recorded in the lacustrine sediments of the Lop Nur paleolake, on the ...",Quaternary Science Reviews (2019),https://www.mendeley.com/catalogue/api/pdf/3609ca61-43ce-3413-90f0-64037b409df4/?doi=10.1016%2Fj.quascirev.2019.03.023,https://www.mendeley.com/catalogue/40000year-record-aridity-dust-activity-lop-nur-tarim-basin-northwestern-china
10.1016/j.epsl.2018.05.045,A 43 kyr record of protist communities and their response to oxygen minimum zone variability in the Northeastern Arabian Sea,"Kuldeep D. More, William D. Orsi, Valier Galy, Liviu Giosan, Lijun He, Kliti Grice, Marco J.L. Coolen",An extensive oxygen minimum zone (OMZ) occurs in the northeastern (NE) Arabian Sea where sedimentary records show evidence of alternating strong and weak OMZs that correlate with North Atlantic climate variability during the last glacial ...,Earth and Planetary Science Letters (2018),https://www.mendeley.com/catalogue/api/pdf/f5a72cdd-34bc-3b48-8d71-1f6e93e7ccca/?doi=10.1016%2Fj.epsl.2018.05.045,https://www.mendeley.com/catalogue/43-kyr-record-protist-communities-response-oxygen-minimum-zone-variability-northeastern-arabian-sea
10.1016/j.marmicro.2018.05.001,A 450-kyr planktonic foraminiferal assemblage record of IODP site U1352 and its implications for the migration of the subtropical front in the south-west Pacific,"Ying Ying Wu, Xuan Ding, Ke Hu","... the positions of its Southland Front (SF) section, which runs nearly parallel to the South Island&#39;s shoreline. The percentage of Neogloboquadrina pachyderma in the sum of Nq. pachyderma and Nq. incompta was below 40 ...",Marine Micropaleontology (2018),https://www.mendeley.com/catalogue/api/pdf/57c629ae-09b2-30b8-b867-a9ba73dd5b77/?doi=10.1016%2Fj.marmicro.2018.05.001,https://www.mendeley.com/catalogue/450kyr-planktonic-foraminiferal-assemblage-record-iodp-site-u1352-implications-migration-subtropical
10.1016/j.quascirev.2018.11.008,"A 6,000 year record of environmental change from the eastern Pacific margin of central Mexico","Sarah J. Davies, Sarah E. Metcalfe, Benjamin J. Aston, A. Roger Byrne, Marie R. Champagne, Matthew D. Jones, Melanie J. Leng, Anders Noren","The transition from the mid-to late-Holocene in MesoAmerica saw increasing complexity in spatial patterns of change. Records from the western part of the region are sparse, with lacustrine sequences affected by long term ...",Quaternary Science Reviews (2018),https://www.mendeley.com/catalogue/api/pdf/7adb50a5-461f-3a71-8ffd-4ddc814ca904/?doi=10.1016%2Fj.quascirev.2018.11.008,https://www.mendeley.com/catalogue/6000-year-record-environmental-change-eastern-pacific-margin-central-mexico
10.1016/j.jclepro.2019.04.158,A BIM-Based construction and demolition waste information management system for greenhouse gas quantification and reduction,"Jiuping Xu, Yi Shi, Yachen Xie, Siwei Zhao","Excessive greenhouse gas (GHG)emissions have caused serious global warming and climate change. As the construction and demolition waste (CDW)end of life disposal process is a source of GHG emissions, it is vital to ...",Journal of Cleaner Production (2019),https://www.mendeley.com/catalogue/api/pdf/3908d817-7642-3f58-9ae9-ff5e43fb2192/?doi=10.1016%2Fj.jclepro.2019.04.158,https://www.mendeley.com/catalogue/bimbased-construction-demolition-waste-information-management-system-greenhouse-gas-quantification-r
10.1016/j.chemosphere.2018.07.070,A Bayesian assessment of polychlorinated biphenyl contamination of fish communities in the Laurentian Great Lakes,"Ariola Visha, Nilima Gandhi, Satyendra P. Bhavsar, George B. Arhonditsis",Polychlorinated biphenyl (PCB) contamination has historically posed constraints on the recreational and commercial fishing industry in the Great Lakes. Empirical evidence suggests that PCB contamination represents a greater health risk from fish consumption than other ...,Chemosphere (2018),https://www.mendeley.com/catalogue/api/pdf/24f6c13c-1ba1-3793-b3c4-6ca39632ef70/?doi=10.1016%2Fj.chemosphere.2018.07.070,https://www.mendeley.com/catalogue/bayesian-assessment-polychlorinated-biphenyl-contamination-fish-communities-laurentian-great-lakes
10.1016/j.still.2018.01.002,A Bayesian belief network framework to predict SOC dynamics of alternative management scenarios,"N. Dal Ferro, C. Quinn, F. Morari","... to model SOC dynamics and identify management scenarios that maximise its accumulation and minimise GHG emissions. Results showed that the constructed BBN framework was able to describe SOC dynamics of the Veneto region, predicting probabilities ...",Soil and Tillage Research (2018),https://www.mendeley.com/catalogue/api/pdf/d39d4ad3-e0bb-3cc4-b331-2e8a3b4ced5d/?doi=10.1016%2Fj.still.2018.01.002,https://www.mendeley.com/catalogue/bayesian-belief-network-framework-predict-soc-dynamics-alternative-management-scenarios
10.1016/j.spl.2018.07.023,A Bayesian hierarchical model for multiple imputation of urban spatio-temporal groundwater levels,"Kimberly F. Manago, Terri S. Hogue, Aaron Porter, Amanda S. Hering","Groundwater levels in urban areas are irregularly sampled and not well understood. Using a separable space–time Bayesian Hierarchical Model, we obtain multiple imputations of the missing values to analyze spatial and temporal groundwater level ...",Statistics and Probability Letters (2019),https://www.mendeley.com/catalogue/api/pdf/9e473460-ef16-33ad-95b5-c24c33d7d2e0/?doi=10.1016%2Fj.spl.2018.07.023,https://www.mendeley.com/catalogue/bayesian-hierarchical-model-multiple-imputation-urban-spatiotemporal-groundwater-levels
10.1016/j.cub.2018.09.050,A Climate-Driven Functional Inversion of Connected Marine Ecosystems,"Matthew McLean, David Mouillot, Martin Lindegren, Georg Engelhard, Sébastien Villéger, Paul Marchal, Anik Brind'Amour, Arnaud Auber",Sustainably managing natural resources under climate change requires understanding how species distribution shifts can impact ecosystem structure and functioning. While numerous studies have documented changes in species’ distributions and abundances in response to warming [1 ...,Current Biology (2018),https://www.mendeley.com/catalogue/api/pdf/00f7ff1c-3988-3bf6-8ebb-89b9046b8a78/?doi=10.1016%2Fj.cub.2018.09.050,https://www.mendeley.com/catalogue/climatedriven-functional-inversion-connected-marine-ecosystems
10.1016/j.apenergy.2018.02.145,A Combined Energy and Geoengineering Optimization Model (CEAGOM) for climate and energy policy analysis,"John G. Anasis, Mohammad Aslam Khan Khalil, Christopher Butenhoff, Randall Bluffstone, George G. Lendaris",Addressing greenhouse gas emissions and the associated global temperature rise will be one of the key issues of the 21st century. The supply and use of energy is the single largest contributor to anthropogenic greenhouse ...,Applied Energy (2018),https://www.mendeley.com/catalogue/api/pdf/01767682-a4e8-34f5-8fad-952e419c1081/?doi=10.1016%2Fj.apenergy.2018.02.145,https://www.mendeley.com/catalogue/combined-energy-geoengineering-optimization-model-ceagom-climate-energy-policy-analysis
10.1016/j.seares.2018.05.008,A DEB model for European sea bass (Dicentrarchus labrax): Parameterisation and application in aquaculture,"Orestis Stavrakidis-Zachou, Nikos Papandroulakis, Konstadia Lika","The framework provided by the Dynamic Energy Budget (DEB) theory allows the quantification of metabolic processes and the associated biological rates that are of interest for aquaculture, such as growth and feeding. The DEB parameters ...",Journal of Sea Research (2019),https://www.mendeley.com/catalogue/api/pdf/c69f3d05-89e5-3128-9f1f-ec29da49a0ee/?doi=10.1016%2Fj.seares.2018.05.008,https://www.mendeley.com/catalogue/deb-model-european-sea-bass-dicentrarchus-labrax-parameterisation-application-aquaculture
10.1016/j.scitotenv.2018.12.242,A Food-Energy-Water Nexus approach for land use optimization,"Yaling Nie, Styliani Avraamidou, Xin Xiao, Efstratios N. Pistikopoulos, Jie Li, Yujiao Zeng, Fei Song, Jie Yu, Min Zhu","Allocation and management of agricultural land is of emergent concern due to land scarcity, diminishing supply of energy and water, and the increasing demand of food globally. To achieve social, economic and environmental goals in ...",Science of the Total Environment (2018),https://www.mendeley.com/catalogue/api/pdf/680d2224-f46c-3477-826a-62abc5cb8c2f/?doi=10.1016%2Fj.scitotenv.2018.12.242,https://www.mendeley.com/catalogue/foodenergywater-nexus-approach-land-optimization
10.1016/j.jeem.2018.03.009,A Forward-Looking Ricardian Approach: Do land markets capitalize climate change forecasts?,"Christopher Severen, Christopher Costello, Olivier Deschênes",The hedonic pricing method is one of the main approaches used to estimate the economic value of attributes that affect the market price of an asset. This method is routinely used in environmental economics to ...,Journal of Environmental Economics and Management (2018),https://www.mendeley.com/catalogue/api/pdf/66e00f8d-dcf2-3fec-9829-0142106cbe17/?doi=10.1016%2Fj.jeem.2018.03.009,https://www.mendeley.com/catalogue/forwardlooking-ricardian-approach-land-markets-capitalize-climate-change-forecasts
10.1016/j.jclepro.2018.09.021,A Green Lean approach to global competition and climate change in the agricultural sector – A Swedish case study,"Henrik Barth, Martin Melin","Increased global competition in the agricultural sector is rapidly changing the structure of farms and farming. As the number of small and diversified farms (often family-owned) decreases, the number of large and specialized farms ...",Journal of Cleaner Production (2018),https://www.mendeley.com/catalogue/api/pdf/ce676ddf-9463-386e-bcab-59b90d45e5da/?doi=10.1016%2Fj.jclepro.2018.09.021,https://www.mendeley.com/catalogue/green-lean-approach-global-competition-climate-change-agricultural-sector-swedish-case-study
10.1016/j.tree.2018.11.001,A Horizon Scan of Emerging Issues for Global Conservation in 2019,"William J. Sutherland, Steven Broad, Stuart H.M. Butchart, Stewart J. Clarke, Alexandra M. Collins, Lynn V. Dicks, Helen Doran, Nafeesa Esmail, Erica Fleishman, Nicola Frost, Kevin J. Gaston, David W. Gibbons, Alice C. Hughes, Zhigang Jiang, Ruth Kelman, Becky LeAnstey, Xavier le Roux, Fiona A. Lickorish, Kathryn A. Monk, Diana Mortimer, James W. Pearce-Higgins, Lloyd S. Peck, Nathalie Pettorelli, Jules Pretty, Colleen L. Seymour, Mark D. Spalding, Jonathan Wentworth, Nancy Ockendon","We present the results of our tenth annual horizon scan. We identified 15 emerging priority topics that may have major positive or negative effects on the future conservation of global biodiversity, but currently have low ...",Trends in Ecology and Evolution (2019),https://www.mendeley.com/catalogue/api/pdf/9ec5d6c0-3b1b-3104-960a-fb4720182c80/?doi=10.1016%2Fj.tree.2018.11.001,https://www.mendeley.com/catalogue/horizon-scan-emerging-issues-global-conservation-2019-1
10.1016/j.atmosres.2019.03.033,A MCDM-based framework for selection of general circulation models and projection of spatio-temporal rainfall changes: A case study of Nigeria,"Mohammed Sanusi Shiru, Shamsuddin Shahid, Eun Sung Chung, Noraliani Alias, Laura Scherer","A multi-criteria decision-making approach was used for the selection of GCMs for Nigeria based on their ability to replicate historical rainfall estimated using three entropy-based feature selection methods namely, Entropy Gain (EG ...",Atmospheric Research (2019),https://www.mendeley.com/catalogue/api/pdf/63e811ac-0841-37ac-b1a0-da9b6f320b6a/?doi=10.1016%2Fj.atmosres.2019.03.033,https://www.mendeley.com/catalogue/mcdmbased-framework-selection-general-circulation-models-projection-spatiotemporal-rainfall-changes
10.1016/j.jhydrol.2018.03.047,A Novel approach for predicting monthly water demand by combining singular spectrum analysis with neural networks,"Salah L. Zubaidi, Jayne Dooley, Rafid M. Alkhaddar, Mawada Abdellatif, Hussein Al-Bugharbee, Sandra Ortega-Martorell",Valid and dependable water demand prediction is a major element of the effective and sustainable expansion of municipal water infrastructures. This study provides a novel approach to quantifying water demand through the assessment of climatic ...,Journal of Hydrology (2018),https://www.mendeley.com/catalogue/api/pdf/6ce4328d-50d3-3385-8cc7-6772de97fa0d/?doi=10.1016%2Fj.jhydrol.2018.03.047,https://www.mendeley.com/catalogue/novel-approach-predicting-monthly-water-demand-combining-singular-spectrum-analysis-neural-networks
10.1016/j.scitotenv.2018.11.184,A Petri net modeling approach to explore the temporal dynamics of the provision of multiple ecosystem services,"Silvia Rova, Patrick Meire, Felix Müller, Marta Simeoni, Fabio Pranovi","The representation of the temporal dynamics of ecosystem services (ES) is a crucial research frontier in the field of ES modeling. In fact, most current ES models focus on static ES assessments, that need to ...",Science of the Total Environment (2019),https://www.mendeley.com/catalogue/api/pdf/514d114d-21d2-37c0-87d4-2b001577db88/?doi=10.1016%2Fj.scitotenv.2018.11.184,https://www.mendeley.com/catalogue/petri-net-modeling-approach-explore-temporal-dynamics-provision-multiple-ecosystem-services
10.1016/j.apenergy.2018.05.094,A Review of Transparent Insulation Material (TIM) for building energy saving and daylight comfort,"Yanyi Sun, Robin Wilson, Yupeng Wu",Improving the energy efficiency of buildings is a key strategy in responding to climate change and resource challenges associated with the use of fossil fuel derived energy. The characteristics of the building envelope play a ...,Applied Energy (2018),https://www.mendeley.com/catalogue/api/pdf/1b1e1f20-5884-3517-945f-2a86215ddc7f/?doi=10.1016%2Fj.apenergy.2018.05.094,https://www.mendeley.com/catalogue/review-transparent-insulation-material-tim-building-energy-saving-daylight-comfort
10.1016/j.eja.2019.01.009,A SIMPLE crop model,"Chuang Zhao, Bing Liu, Liujun Xiao, Gerrit Hoogenboom, Kenneth J. Boote, Belay T. Kassie, Willingthon Pavan, Vakhtang Shelia, Kwang Soo Kim, Ixchel M. Hernandez-Ochoa, Daniel Wallach, Cheryl H. Porter, Claudio O. Stockle, Yan Zhu, Senthold Asseng",Crop models are important tools for assessing the impact of climate change on crop production. While multiple models have been developed over the past decades for the major food and fiber crops such as wheat ...,European Journal of Agronomy (2019),https://www.mendeley.com/catalogue/api/pdf/6b91a5f6-871c-3775-8572-4e45be45cc33/?doi=10.1016%2Fj.eja.2019.01.009,https://www.mendeley.com/catalogue/simple-crop-model
10.1016/j.soilbio.2018.05.010,A Space-For-Time approach to study the effects of increasing temperature on leaf litter decomposition under natural conditions,"Jenny Faber, Aline F. Quadros, Martin Zimmer","Decomposition processes influence the formation of soil organic carbon stocks, and it is necessary to understand how both will respond to climate change. A Space-For-Time (SFT) substitution allows the comparison of litter decomposition ...",Soil Biology and Biochemistry (2018),https://www.mendeley.com/catalogue/api/pdf/5ab9278a-f310-362f-ae92-53f58fd80929/?doi=10.1016%2Fj.soilbio.2018.05.010,https://www.mendeley.com/catalogue/spacefortime-approach-study-effects-increasing-temperature-leaf-litter-decomposition-under-natural-c
10.1016/j.ecolecon.2017.11.008,A Survey of Applications of Viability Theory to the Sustainable Exploitation of Renewable Resources,"Aïchouche Oubraham, Georges Zaccour","In this paper, we survey the literature applying viability theory to the sustainable management of renewable resources. After a refresher on the main concepts of viability theory, we provide a general map of the contributions ...",Ecological Economics (2018),https://www.mendeley.com/catalogue/api/pdf/cb9efc9e-e0e6-3b9d-a9be-1d5ce61332a0/?doi=10.1016%2Fj.ecolecon.2017.11.008,https://www.mendeley.com/catalogue/survey-applications-viability-theory-sustainable-exploitation-renewable-resources
10.1016/j.tplants.2018.08.003,A Wood Biology Agenda to Support Global Vegetation Modelling,"Pieter A. Zuidema, Benjamin Poulter, David C. Frank","Realistic forecasting of forest responses to climate change critically depends on key advancements in global vegetation modelling. Compared with traditional ‘big-leaf’ models that simulate forest stands, ‘next-generation’ vegetation models aim to track carbon ...",Trends in Plant Science (2018),https://www.mendeley.com/catalogue/api/pdf/33d09398-923b-382e-b8bc-944a2b1efe7f/?doi=10.1016%2Fj.tplants.2018.08.003,https://www.mendeley.com/catalogue/wood-biology-agenda-support-global-vegetation-modelling
10.1016/j.jasrep.2017.03.001,A Younger Dryas signature in bison bone stable isotopes from the southern Plains of North America,"Kristen Carlson, Leland C. Bement, Brian J. Carter, Brendan J. Culleton, Douglas J. Kennett","Stable carbon (δ13C) and nitrogen (δ15N) isotope ratios from bison bone collagen recovered from Paleoindian bison kill sites provide a record of the B/A, YD, and EH climates in the North American southern Plains ...",Journal of Archaeological Science: Reports (2018),https://www.mendeley.com/catalogue/api/pdf/570fdc29-17a6-3ffd-87c6-e82c18de15af/?doi=10.1016%2Fj.jasrep.2017.03.001,https://www.mendeley.com/catalogue/younger-dryas-signature-bison-bone-stable-isotopes-southern-plains-north-america
10.1016/j.agwat.2018.06.024,A baseline regional evapotranspiration (ET) and change hotspots over Indian sub-tropics using satellite remote sensing data," Shweta, Bimal K. Bhattacharya, Akhouri Pramod Krishna","The annual water loss through evapotranspiration (ET) is an uncertain but significant component of India&#39;s water budget. The present study generated independent estimates of baseline annual ET, calibrated with in situ micrometeorological data over ...",Agricultural Water Management (2018),https://www.mendeley.com/catalogue/api/pdf/daadc51c-23c0-39b6-8638-557a2c49e1ea/?doi=10.1016%2Fj.agwat.2018.06.024,https://www.mendeley.com/catalogue/baseline-regional-evapotranspiration-et-change-hotspots-indian-subtropics-using-satellite-remote-sen
10.1016/j.jclepro.2018.06.183,A bibliometric analysis of climate change adaptation based on massive research literature data,"Zhaohua Wang, Yuandong Zhao, Bo Wang","To clarify the current situation, hotspots, and development trends, in the field of climate change adaptation, we analysed a massive literature dataset from the Web of Science database by bibliometric method. By characterising the data ...",Journal of Cleaner Production (2018),https://www.mendeley.com/catalogue/api/pdf/ecacc824-df81-3272-a22e-1f69d95d9421/?doi=10.1016%2Fj.jclepro.2018.06.183,https://www.mendeley.com/catalogue/bibliometric-analysis-climate-change-adaptation-based-massive-research-literature-data-1
10.1016/j.frl.2019.02.003,"A bibliometric analysis on green finance: Current status, development, and future directions","Dayong Zhang, Zhiwei Zhang, Shunsuke Managi","With growing global actions toward climate changes, green finance receives large attention in recent literature. It is though conceptually unclear, with no consensus achieved on its definition among researchers. This paper provides a brief review ...",Finance Research Letters (2019),https://www.mendeley.com/catalogue/api/pdf/c4906fad-41aa-3125-855b-0e78d2fdd184/?doi=10.1016%2Fj.frl.2019.02.003,https://www.mendeley.com/catalogue/bibliometric-analysis-green-finance-current-status-development-future-directions
10.1016/j.cosust.2018.05.014,A brief review of health-related issues occurring in urban areas related to global warming of 1.5°C,"Judit Bartholy, Rita Pongrácz","... and drought), vector-borne diseases, and finally air quality, smog-related effects. Among the above, those most directly linked to climate change may be associated with temperature-related and precipitation-related effects. The paper points ...",Current Opinion in Environmental Sustainability (2018),https://www.mendeley.com/catalogue/api/pdf/b1ddb6ce-c1d0-3e84-8a1d-f74d15da9bed/?doi=10.1016%2Fj.cosust.2018.05.014,https://www.mendeley.com/catalogue/brief-review-healthrelated-issues-occurring-urban-areas-related-global-warming-15c
10.1016/j.jenvman.2018.01.007,A case for the commons: The Snow Crab in the Barents,"Brooks A. Kaiser, Melina Kourantidou, Linda Fernandez",Closing of the marine commons increases economic returns and slows depletion of valuable ocean resources. Rights-based management is widely used for fisheries rationalization. Regulators with sound biological and economic information can in theory set ...,Journal of Environmental Management (2018),https://www.mendeley.com/catalogue/api/pdf/deeb6a02-3e7a-3c2b-8ced-7734a8d8f8f4/?doi=10.1016%2Fj.jenvman.2018.01.007,https://www.mendeley.com/catalogue/case-commons-snow-crab-barents
10.1016/j.cub.2018.09.027,A changing climate for seagrass conservation?,"Richard K.F. Unsworth, Len J. McKenzie, Lina M. Nordlund, Leanne C. Cullen-Unsworth","Tropical coral reefs are threatened and in decline, and their future is highly uncertain. With increasing rates of climate change and rising global temperatures, people looking to coral reefs for food and income may increasingly ...",Current Biology (2018),https://www.mendeley.com/catalogue/api/pdf/157644eb-e610-3376-ad8b-6520076eb68b/?doi=10.1016%2Fj.cub.2018.09.027,https://www.mendeley.com/catalogue/changing-climate-seagrass-conservation
10.1016/j.aeolia.2018.02.007,A clarion call for aeolian research to engage with global land degradation and climate change,"Adrian Chappell, Jeffrey A. Lee, Matthew Baddock, Thomas E. Gill, Jeffrey E. Herrick, John F. Leys, Beatrice Marticorena, Lynda Petherick, Kerstin Schepanski, John Tatarko, Matt Telfer, Nicholas P. Webb",,Aeolian Research (2018),https://www.mendeley.com/catalogue/api/pdf/35c81062-8246-3055-80ec-a4af25084c1d/?doi=10.1016%2Fj.aeolia.2018.02.007,https://www.mendeley.com/catalogue/clarion-call-aeolian-research-engage-global-land-degradation-climate-change
10.1016/j.micromeso.2018.05.035,A combined strategy of acid-assisted polymerization and solid state activation to synthesize functionalized nanoporous activated biocarbons from biomass for CO 2 capture,"Gurwinder Singh, Kripal S. Lakhi, Kavitha Ramadass, Sungho Kim, Declan Stockdale, Ajayan Vinu","Novel acid treated porous activated biocarbons (APABs) are synthesized from biomass waste, Arundo donax, through sulphuric acid polymerization followed by a single step solid state activation using KOH at a fixed carbonization temperature of 600 ...",Microporous and Mesoporous Materials (2018),https://www.mendeley.com/catalogue/api/pdf/fe40b6ec-e550-35dd-b885-884fd5736363/?doi=10.1016%2Fj.micromeso.2018.05.035,https://www.mendeley.com/catalogue/combined-strategy-acidassisted-polymerization-solid-state-activation-synthesize-functionalized-nanop
